,VIN_110,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility,2020_Census_Tract,Latitude,Longitude
10857,KL8CK6S00G,YAKIMA,YAKIMA,WA,98903,2016,CHEVROLET,SPARK,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,14,332341264,PACIFICORP,53077002803.00,46.55351,-120.47780
10862,2C4RC1N76J,KING,SEATTLE,WA,98119,2018,CHRYSLER,PACIFICA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,36,277634157,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900.00,47.64586,-122.36840
10869,1V2FMPE86P,KING,SEATTLE,WA,98178,2023,VOLKSWAGEN,ID.4,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,37,230820600,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902.00,47.49461,-122.23825
10875,5UXTA6C00M,KING,KIRKLAND,WA,98034,2021,BMW,X5,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,127075910,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300.00,47.72201,-122.22901
10878,KMHM14AB4S,KING,BELLEVUE,WA,98006,2025,HYUNDAI,IONIQ 6,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,41,274152616,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024904.00,47.55584,-122.12096
10879,2C4RC1S73M,KING,BEAUX ARTS,WA,98004,2021,CHRYSLER,PACIFICA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,41,156782272,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023901.00,47.61001,-122.18720
10880,KNDJX3AE9J,KING,SEATTLE,WA,98177,2018,KIA,SOUL,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,32,342519866,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500.00,47.72238,-122.36498
10884,3FMTK3SS3M,KING,SEATTLE,WA,98122,2021,FORD,MUSTANG MACH-E,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,37,144865017,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800.00,47.60803,-122.31009
10895,1N4AZ1BPXL,KING,BELLEVUE,WA,98004,2020,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,48,138427089,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023806.00,47.61001,-122.18720
10896,WMZYU7C58K,KING,KIRKLAND,WA,98033,2019,MINI,COUNTRYMAN,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,12,36900,48,338987211,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604.00,47.67887,-122.20660
